,ACN US Equity,AMD US Equity,AKAM US Equity,ADSK US Equity,CA US Equity,GIB US Equity,CSCO US Equity,EMC US Equity,HPQ US Equity,INTC US Equity,IBM US Equity,MSFT US Equity,MSI US Equity,NVDA US Equity,RAX US Equity,SYMC US Equity,TEL US Equity,TDC US Equity,TXN US Equity,XRX US Equity
2/4/13,$72.82 ,$2.52 ,$41.36 ,$38.53 ,$24.71 ,$26.58 ,$20.82 ,$24.59 ,$7.35 ,$21.16 ,$203.79 ,$27.44 ,$58.69 ,$12.16 ,$74.93 ,$21.65 ,$39.15 ,$66.86 ,$33.27 ,$7.94 
2/5/13,$73.36 ,$2.60 ,$41.05 ,$39.06 ,$25.05 ,$26.94 ,$21.08 ,$24.88 ,$7.54 ,$21.18 ,$202.79 ,$27.50 ,$59.92 ,$12.44 ,$75.64 ,$22.16 ,$39.69 ,$67.60 ,$33.75 ,$8.02 
2/6/13,$72.42 ,$2.60 ,$41.58 ,$38.71 ,$24.83 ,$27.01 ,$21.19 ,$24.79 ,$7.58 ,$20.99 ,$201.02 ,$27.34 ,$59.39 ,$12.34 ,$75.12 ,$22.28 ,$40.07 ,$66.55 ,$33.56 ,$7.99 
2/7/13,$72.95 ,$2.57 ,$35.26 ,$38.65 ,$24.81 ,$27.16 ,$21.10 ,$24.75 ,$7.46 ,$20.81 ,$199.74 ,$27.28 ,$60.02 ,$12.29 ,$73.11 ,$22.24 ,$39.99 ,$61.82 ,$33.42 ,$7.99 
2/8/13,$73.31 ,$2.59 ,$35.42 ,$38.89 ,$25.02 ,$27.46 ,$21.16 ,$24.88 ,$7.66 ,$21.00 ,$201.68 ,$27.55 ,$60.30 ,$12.37 ,$73.40 ,$22.59 ,$40.52 ,$62.75 ,$34.28 ,$7.96 
2/11/13,$73.07 ,$2.67 ,$35.31 ,$38.89 ,$24.86 ,$27.70 ,$21.27 ,$24.63 ,$7.64 ,$21.03 ,$200.16 ,$27.86 ,$60.90 ,$12.51 ,$75.03 ,$22.64 ,$40.44 ,$62.26 ,$33.69 ,$7.99 
2/12/13,$73.37 ,$2.77 ,$36.74 ,$38.91 ,$24.87 ,$28.26 ,$20.97 ,$24.54 ,$7.76 ,$21.19 ,$200.04 ,$27.88 ,$60.83 ,$12.43 ,$74.98 ,$22.70 ,$40.49 ,$61.43 ,$33.56 ,$7.96 
2/13/13,$73.56 ,$2.75 ,$37.31 ,$38.66 ,$25.00 ,$27.06 ,$21.14 ,$24.22 ,$7.72 ,$21.25 ,$200.09 ,$28.03 ,$60.81 ,$12.37 ,$60.30 ,$22.62 ,$40.92 ,$61.68 ,$33.72 ,$8.00 
2/14/13,$73.13 ,$2.75 ,$37.87 ,$38.67 ,$25.19 ,$27.08 ,$20.99 ,$24.04 ,$7.73 ,$21.23 ,$199.65 ,$28.04 ,$61.12 ,$12.73 ,$60.94 ,$22.67 ,$41.08 ,$62.15 ,$33.79 ,$8.03 
2/15/13,$74.16 ,$2.71 ,$38.49 ,$39.00 ,$25.05 ,$27.32 ,$20.99 ,$24.00 ,$7.62 ,$21.12 ,$200.98 ,$28.01 ,$61.43 ,$12.73 ,$59.00 ,$22.53 ,$41.03 ,$62.59 ,$33.59 ,$7.97 
2/19/13,$75.40 ,$2.82 ,$38.58 ,$38.98 ,$24.98 ,$27.51 ,$21.46 ,$23.92 ,$7.67 ,$21.09 ,$200.32 ,$28.05 ,$62.03 ,$12.56 ,$57.74 ,$22.60 ,$41.30 ,$63.50 ,$33.94 ,$8.00 
